X-Easting	Y-Northing	Z-Elevation
-309.5173351	-110.4554725	81
-332.2433719	-107.0020394	81
-348.4908226	-102.3793338	81
-363.7117607	-89.68048946	81
-372.4541128	-75.81237254	81
-379.0074779	-65.91434398	81
-387.743032	-53.05234534	81
-388.8851122	-44.02447315	81
-395.3772944	-43.18150918	81
-396.3766145	-55.28212101	81
-400.6118287	-68.47042828	81
-410.278722	-77.77022434	81
-418.871516	-86.03670972	81
-429.6397009	-92.3453433	81
-441.4887831	-98.68116927	81
-454.4255608	-104.0380693	81
-469.5377294	-107.4371176	81
-284.717879	-100.774983	82
-315.0169952	-96.50577838	82
-344.2760027	-86.17267165	82
-362.7396329	-73.55540449	82
-375.7783821	-63.82053025	82
-384.5003399	-52.97076818	82
-387.817811	-41.98504419	82
-392.1753909	-37.0632223	82
-395.3636982	-45.19374575	82
-403.9157036	-59.49694086	82
-415.7307954	-70.86335826	82
-429.7280761	-79.26580557	82
-442.6512576	-86.63494222	82
-460.9721278	-95.14615908	82
-473.9157036	-99.49694086	82
-471.8830727	-80.32630863	83
-448.1441196	-73.69136642	83
-423.3446635	-64.01087695	83
-406.1182869	-53.51461591	83
-396.4445955	-45.22093814	83
-397.5934738	-35.18694765	83
-407.32155	-35.43167913	83
-404.1468389	-25.2889191	83
-396.6621346	-13.02515296	83
-388.0761387	-3.752549286	83
-384.7586676	-14.73827328	83
-382.5220938	-25.75118967	83
-380.3195105	-31.73351462	83
-385.6900068	-36.90006798	83
-385.6424201	-43.94289599	83
-374.7450714	-56.75050986	83
-361.7063222	-66.48538409	83
-344.3439837	-76.11148878	83
-322.67845	-82.61046907	83
-301.0265126	-87.09721278	83
-279.3813732	-90.57783821	83
-529.3745751	-51.58395649	84
-506.6145479	-60.06798097	84
-475.2413324	-63.30387492	84
-445.0577838	-50.46906866	84
-428.9530931	-33.96329028	84
-409.6193066	-15.36369816	84
-394.6023114	2.121006118	84
-387.1176071	14.38477226	84
-376.1794697	-4.459551326	84
-373.8885112	-23.521414	84
-369.4629504	-38.50441876	84
-353.1543168	-52.18218899	84
