X-Easting	Y-Northing	Z-Elevation
0	800	5.25
50	600.0	5.25
1000	800	6.45
1000	1000	6.25
0.365791375238	0.00426936718372	5.5
7.44799110264	34.0524726574	5.5
30.6624750375	65.7872126049	5.5
54.9680891487	97.8648361043	5.5
74.5433911797	128.575194763	5.5
91.2298259059	157.185558439	5.5
103.426860937	191.538220976	5.5
106.466623688	226.709001	5.5
105.451461564	263.705202331	5.5
102.422625725	290.411961913	5.5
99.9942496961	324.579707484	5.5
96.5434269357	354.491961315	5.5
95.3435479722	381.177374062	5.5
96.3321733107	408.192862258	5.5
98.6117352096	424.169101095	5.5
104.802611145	446.500826656	5.5
114.998460359	469.852664138	5.5
131.500178246	488.15223923	5.5
150.971934781	503.927817809	5.5
171.553553341	518.97920498	5.5
192.513451175	533.314939476	5.5
214.601942882	545.859407604	5.5
236.677946691	559.115259039	5.5
252.944996142	569.949578774	5.5
270.28444392	582.193857021	5.5
286.495297826	596.229401638	5.5
300.517647429	609.934870804	5.5
313.001904138	627.92571728	5.5
326.508607578	650.172055498	5.5
339.140117429	680.607840479	5.5
347.854069294	705.043830391	5.5
353.704129652	725.957058705	5.5
186.509893725	0.312464310759	5.75
195.371098732	37.1933927273	5.75
202.181166327	65.9190293167	5.75
206.765265923	96.4487403766	5.75
208.857509337	123.095728818	5.75
211.756262895	145.465878684	5.75
213.570130226	167.137453344	5.75
215.940749722	198.759855567	5.75
218.41751636	224.335499681	5.75
221.650841546	248.479838447	5.75
225.653213179	270.481488558	5.75
230.318484118	296.387208122	5.75
232.288450188	309.166491445	5.75
237.760231272	330.795372433	5.75
243.256988154	351.001486807	5.75
249.832387313	372.26186804	5.75
258.274207045	391.366752517	5.75
268.141728581	412.588709445	5.75
280.582277643	433.069397496	5.75
295.861742414	458.495613759	5.75
311.94147338	480.000683099	5.75
325.225996284	494.070382653	5.75
343.115952277	516.621180117	5.75
358.917307161	533.150835675	5.75
372.964632562	545.433538227	5.75
390.532504827	565.498763485	5.75
408.509876114	583.0698778	5.75
420.653317245	599.64222703	5.75
437.774226791	624.33571315	5.75
452.756583631	645.853590591	5.75
466.213335475	670.945462036	5.75
477.866106241	694.635913703	5.75
486.889653936	722.268859129	5.75
362.749010841	-18.4586090188	6.0
367.376818083	9.58126046662	6.0
371.804818941	49.0032628639	6.0
378.458787799	86.6211907905	6.0
384.474833148	118.912282649	6.0
388.173852901	137.361285592	6.0
393.539486843	165.036924689	6.0
398.898876836	193.068255441	6.0
401.685239303	221.840855069	6.0
405.531512199	252.734796517	6.0
410.518866867	281.126088288	6.0
414.205398722	300.286474538	6.0
417.873198727	320.513935748	6.0
423.648331691	345.695463904	6.0
429.876671324	365.893039544	6.0
438.168636268	393.534523704	6.0
448.333265735	418.664819454	6.0
457.072193398	441.678042751	6.0
467.999625363	465.021341499	6.0
480.643623113	494.745743174	6.0
496.201463966	525.147373218	6.0
509.96781164	553.436200178	6.0
524.124926487	580.297991156	6.0
536.168464426	602.561406842	6.0
547.436711968	627.323202837	6.0
562.994552821	657.724832881	6.0
581.391309383	693.071991137	6.0
595.939191403	718.506746134	6.0
502.803399911	-17.6039350757	6.25
512.271308678	26.3822876764	6.25
520.432150683	61.4932965599	6.25
525.047470026	90.2445493523	6.25
530.078532341	116.14599955	6.25
533.083433041	132.469391306	6.25
537.148244169	150.914124881	6.25
540.847263923	169.363127824	6.25
545.065572143	199.897108251	6.25
550.740801915	230.769702863	6.25
557.066443094	266.257750236	6.25
560.584388312	295.02181113	6.25
563.17978999	313.839313827	6.25
567.132210027	338.686497166	6.25
571.028434519	366.734905385	6.25
573.858504633	393.017663439	6.25
575.60368852	418.601846288	6.25
578.080455157	444.177490402	6.25
582.783189794	467.949060045	6.25
588.602030404	490.640746627	6.25
597.353445966	512.942586617	6.25
608.652913256	535.925924345	6.25
620.45553881	551.079776328	6.25
637.397975466	565.10678221	6.25
660.14312253	581.911011445	6.25
684.338947195	599.409546518	6.25
708.769440297	624.373336948	6.25
